worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
A3V1ZYXBJYCIIE,1,go,500,77,77,1,554
A3V1ZYXBJYCIIE,1,go,500,77,77,1,338
A3V1ZYXBJYCIIE,1,go,500,90,90,1,504
A2WYCY1FMQOD5F,0,go,250,90,90,1,563
A2WYCY1FMQOD5F,0,go,250,77,77,1,705
A2WYCY1FMQOD5F,0,stop,250,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,300,90,90,1,565
A2WYCY1FMQOD5F,0,stop,300,-1,90,0,681
A2WYCY1FMQOD5F,0,stop,250,-1,90,0,454
A2WYCY1FMQOD5F,0,go,200,77,77,1,707
A2WYCY1FMQOD5F,0,go,200,90,90,1,714
A2WYCY1FMQOD5F,0,stop,200,-1,-1,1,-1
A2WYCY1FMQOD5F,0,stop,250,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,300,90,90,1,661
A2WYCY1FMQOD5F,0,go,300,77,77,1,770
A2WYCY1FMQOD5F,0,stop,300,-1,-1,1,-1
A2WYCY1FMQOD5F,0,stop,350,-1,-1,1,-1
A2WYCY1FMQOD5F,0,stop,400,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,450,77,77,1,623
A2WYCY1FMQOD5F,0,go,450,77,77,1,857
A2WYCY1FMQOD5F,0,stop,450,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,500,90,90,1,766
A2WYCY1FMQOD5F,0,go,500,90,90,1,764
A2WYCY1FMQOD5F,0,go,500,90,90,1,599
A2WYCY1FMQOD5F,0,stop,500,-1,77,0,726
A2WYCY1FMQOD5F,0,stop,450,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,500,90,90,1,783
A2WYCY1FMQOD5F,0,go,500,90,90,1,970
A2WYCY1FMQOD5F,0,go,500,90,90,1,862
A2WYCY1FMQOD5F,0,go,500,77,77,1,644
A2WYCY1FMQOD5F,0,go,500,77,77,1,610
A2WYCY1FMQOD5F,0,stop,500,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,550,90,90,1,596
A2WYCY1FMQOD5F,0,go,550,77,77,1,839
A2WYCY1FMQOD5F,0,go,550,90,90,1,676
A2WYCY1FMQOD5F,0,go,550,90,90,1,676
A2WYCY1FMQOD5F,0,go,550,77,77,1,758
A2WYCY1FMQOD5F,0,go,550,77,77,1,790
A2WYCY1FMQOD5F,0,go,550,90,90,1,819
A2WYCY1FMQOD5F,0,stop,550,-1,77,0,677
A2WYCY1FMQOD5F,0,go,500,90,90,1,634
A2WYCY1FMQOD5F,0,go,500,77,77,1,698
A2WYCY1FMQOD5F,0,stop,500,-1,90,0,697
A2WYCY1FMQOD5F,0,go,450,77,77,1,810
A2WYCY1FMQOD5F,0,go,450,77,77,1,1181
A2WYCY1FMQOD5F,0,go,450,77,77,1,640
A2WYCY1FMQOD5F,0,go,450,77,77,1,722
A2WYCY1FMQOD5F,0,stop,450,-1,90,0,723
A2WYCY1FMQOD5F,0,go,400,77,77,1,815
A2WYCY1FMQOD5F,0,stop,400,-1,-1,1,-1
A2WYCY1FMQOD5F,0,go,450,90,90,1,778
A2WYCY1FMQOD5F,1,go,450,90,90,1,650
A2WYCY1FMQOD5F,1,go,450,90,90,1,544
A2WYCY1FMQOD5F,1,stop,450,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,500,77,77,1,761
A2WYCY1FMQOD5F,1,stop,500,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,550,77,77,1,771
A2WYCY1FMQOD5F,1,go,550,77,77,1,742
A2WYCY1FMQOD5F,1,go,550,90,90,1,539
A2WYCY1FMQOD5F,1,stop,550,-1,90,0,643
A2WYCY1FMQOD5F,1,go,500,90,90,1,688
A2WYCY1FMQOD5F,1,go,500,90,90,1,767
A2WYCY1FMQOD5F,1,stop,500,-1,90,0,813
A2WYCY1FMQOD5F,1,go,450,90,90,1,744
A2WYCY1FMQOD5F,1,go,450,90,90,1,848
A2WYCY1FMQOD5F,1,go,450,90,90,1,919
A2WYCY1FMQOD5F,1,stop,450,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,500,90,90,1,730
A2WYCY1FMQOD5F,1,go,500,90,90,1,848
A2WYCY1FMQOD5F,1,go,500,77,77,1,873
A2WYCY1FMQOD5F,1,stop,500,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,550,90,90,1,827
A2WYCY1FMQOD5F,1,go,550,90,90,1,942
A2WYCY1FMQOD5F,1,stop,550,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,600,77,77,1,753
A2WYCY1FMQOD5F,1,go,600,77,77,1,909
A2WYCY1FMQOD5F,1,go,600,77,77,1,901
A2WYCY1FMQOD5F,1,go,600,77,77,1,749
A2WYCY1FMQOD5F,1,go,600,90,90,1,885
A2WYCY1FMQOD5F,1,stop,600,-1,90,0,763
A2WYCY1FMQOD5F,1,go,550,90,90,1,789
A2WYCY1FMQOD5F,1,go,550,77,77,1,865
A2WYCY1FMQOD5F,1,go,550,77,77,1,631
A2WYCY1FMQOD5F,1,go,550,77,77,1,779
A2WYCY1FMQOD5F,1,stop,550,-1,90,0,777
A2WYCY1FMQOD5F,1,go,500,90,90,1,801
A2WYCY1FMQOD5F,1,go,500,77,77,1,797
A2WYCY1FMQOD5F,1,go,500,77,77,1,755
A2WYCY1FMQOD5F,1,stop,500,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,550,90,90,1,646
A2WYCY1FMQOD5F,1,stop,550,-1,90,0,719
A2WYCY1FMQOD5F,1,stop,500,-1,-1,1,-1
A2WYCY1FMQOD5F,1,go,550,77,77,1,756
